"","lon","lat","ele","time","datetime"
"2",-71.7614100315,41.4431466814,23.21,"2021-02-15T17:31:37Z",2021-02-15 17:31:37
"3",-71.7615039088,41.4430890977,19.36,"2021-02-15T17:32:04Z",2021-02-15 17:32:04
"4",-71.7615137994,41.4430917799,20.32,"2021-02-15T17:32:34Z",2021-02-15 17:32:34
"5",-71.7615312338,41.4430780336,20.32,"2021-02-15T17:32:52Z",2021-02-15 17:32:52
"6",-71.7615071777,41.4431010839,18.4,"2021-02-15T17:33:22Z",2021-02-15 17:33:22
"7",-71.7615108658,41.4430621918,20.32,"2021-02-15T17:33:46Z",2021-02-15 17:33:46
"8",-71.7615128774,41.4431059454,18.88,"2021-02-15T17:34:05Z",2021-02-15 17:34:05
"9",-71.7614990473,41.4431194402,16.96,"2021-02-15T17:34:17Z",2021-02-15 17:34:17
"10",-71.7614850495,41.4431001619,16.96,"2021-02-15T17:34:29Z",2021-02-15 17:34:29
"11",-71.7614958622,41.4431183506,16,"2021-02-15T17:34:55Z",2021-02-15 17:34:55
"12",-71.7614900786,41.4431019221,16,"2021-02-15T17:35:17Z",2021-02-15 17:35:17
"13",-71.7614780087,41.4430840686,15.04,"2021-02-15T17:35:38Z",2021-02-15 17:35:38
"14",-71.761528803,41.4431053586,16,"2021-02-15T17:36:05Z",2021-02-15 17:36:05
"15",-71.7613891605,41.4431032632,22.25,"2021-02-15T17:36:41Z",2021-02-15 17:36:41
"16",-71.7614263762,41.443135282,23.69,"2021-02-15T17:37:02Z",2021-02-15 17:37:02
"17",-71.7613986321,41.4431274869,22.25,"2021-02-15T17:37:07Z",2021-02-15 17:37:07
"18",-71.7613662779,41.4431424066,24.17,"2021-02-15T17:37:13Z",2021-02-15 17:37:13
"19",-71.7611781042,41.4431511238,25.61,"2021-02-15T17:37:27Z",2021-02-15 17:37:27
"20",-71.761100404,41.4431584161,26.09,"2021-02-15T17:37:41Z",2021-02-15 17:37:41
"21",-71.7610004079,41.4431868307,26.57,"2021-02-15T17:37:55Z",2021-02-15 17:37:55
"22",-71.7609213665,41.4432118088,26.09,"2021-02-15T17:38:01Z",2021-02-15 17:38:01
"23",-71.7608729191,41.4432672132,25.13,"2021-02-15T17:38:07Z",2021-02-15 17:38:07
"24",-71.7608515453,41.4434436522,25.61,"2021-02-15T17:38:23Z",2021-02-15 17:38:23
"25",-71.7607740965,41.4436187502,25.61,"2021-02-15T17:38:38Z",2021-02-15 17:38:38
"26",-71.7606860865,41.4437391143,27.05,"2021-02-15T17:38:51Z",2021-02-15 17:38:51
"27",-71.7605915386,41.4438280463,29.46,"2021-02-15T17:39:00Z",2021-02-15 17:39:00
"28",-71.7605398223,41.4438489173,30.9,"2021-02-15T17:39:05Z",2021-02-15 17:39:05
"29",-71.7605003435,41.443964839,31.38,"2021-02-15T17:39:19Z",2021-02-15 17:39:19
"30",-71.7604710907,41.4441467263,32.34,"2021-02-15T17:39:36Z",2021-02-15 17:39:36
"31",-71.7605311889,41.4443105925,34.26,"2021-02-15T17:39:53Z",2021-02-15 17:39:53
"32",-71.7606544029,41.4444555156,34.74,"2021-02-15T17:40:07Z",2021-02-15 17:40:07
"33",-71.7607637867,41.4446059708,33.78,"2021-02-15T17:40:24Z",2021-02-15 17:40:24
"34",-71.7608228792,41.4447778836,33.78,"2021-02-15T17:40:41Z",2021-02-15 17:40:41
"35",-71.7607989069,41.4448913746,34.74,"2021-02-15T17:40:56Z",2021-02-15 17:40:56
"36",-71.7607429996,41.4450082183,36.67,"2021-02-15T17:41:09Z",2021-02-15 17:41:09
"37",-71.7607080471,41.4451218769,39.07,"2021-02-15T17:41:23Z",2021-02-15 17:41:23
"38",-71.760646943,41.4452228788,40.03,"2021-02-15T17:41:37Z",2021-02-15 17:41:37
"39",-71.7603814881,41.4453482721,41.47,"2021-02-15T17:41:54Z",2021-02-15 17:41:54
"40",-71.7602334637,41.4454753418,40.51,"2021-02-15T17:42:11Z",2021-02-15 17:42:11
"41",-71.7601857707,41.4456097037,40.99,"2021-02-15T17:42:24Z",2021-02-15 17:42:24
"42",-71.7601178773,41.4457273018,40.99,"2021-02-15T17:42:37Z",2021-02-15 17:42:37
"43",-71.7600302864,41.4459080156,40.03,"2021-02-15T17:42:53Z",2021-02-15 17:42:53
"44",-71.7601287737,41.4460812695,41.47,"2021-02-15T17:43:09Z",2021-02-15 17:43:09
"45",-71.7600677535,41.4461940899,43.88,"2021-02-15T17:43:21Z",2021-02-15 17:43:21
"46",-71.7599658296,41.446259385,42.44,"2021-02-15T17:43:35Z",2021-02-15 17:43:35
"47",-71.7600927316,41.4463616442,39.55,"2021-02-15T17:43:51Z",2021-02-15 17:43:51
"48",-71.7603262514,41.4463357441,39.07,"2021-02-15T17:44:05Z",2021-02-15 17:44:05
"49",-71.760483915,41.4464079123,37.63,"2021-02-15T17:44:19Z",2021-02-15 17:44:19
"50",-71.7606681492,41.4465445373,36.67,"2021-02-15T17:44:35Z",2021-02-15 17:44:35
"51",-71.7606954742,41.4467154443,35.71,"2021-02-15T17:44:50Z",2021-02-15 17:44:50
"52",-71.7608808819,41.4467997663,34.26,"2021-02-15T17:45:06Z",2021-02-15 17:45:06
"53",-71.7610055208,41.4468844235,34.26,"2021-02-15T17:45:19Z",2021-02-15 17:45:19
"54",-71.7609793693,41.4470342081,38.59,"2021-02-15T17:45:31Z",2021-02-15 17:45:31
"55",-71.7609816324,41.447120877,39.07,"2021-02-15T17:45:42Z",2021-02-15 17:45:42
"56",-71.760972077,41.4472979866,38.59,"2021-02-15T17:45:59Z",2021-02-15 17:45:59
