"","lon","lat","ele","time","datetime"
"2",-71.4535384532,41.8206805922,29.46,"2023-02-01T15:00:03Z",2023-02-01 15:00:03
"3",-71.4535610005,41.8206010479,15.52,"2023-02-01T15:00:26Z",2023-02-01 15:00:26
"4",-71.4535680413,41.8205905706,14.08,"2023-02-01T15:00:48Z",2023-02-01 15:00:48
"5",-71.4535568096,41.8205910735,14.08,"2023-02-01T15:01:18Z",2023-02-01 15:01:18
"6",-71.4535670355,41.8205979466,13.6,"2023-02-01T15:01:44Z",2023-02-01 15:01:44
"7",-71.4535521157,41.8206240982,15.52,"2023-02-01T15:02:10Z",2023-02-01 15:02:10
"8",-71.4535604138,41.8206168897,14.08,"2023-02-01T15:02:41Z",2023-02-01 15:02:41
"9",-71.4535493497,41.8206179794,11.19,"2023-02-01T15:02:58Z",2023-02-01 15:02:58
"10",-71.4536445681,41.8206145428,8.79,"2023-02-01T15:03:13Z",2023-02-01 15:03:13
"11",-71.4536957815,41.8206385151,8.31,"2023-02-01T15:03:17Z",2023-02-01 15:03:17
"12",-71.4537248667,41.820642706,7.83,"2023-02-01T15:03:19Z",2023-02-01 15:03:19
"13",-71.4539670199,41.8206517585,8.31,"2023-02-01T15:03:33Z",2023-02-01 15:03:33
"14",-71.4541850332,41.820640862,10.23,"2023-02-01T15:03:45Z",2023-02-01 15:03:45
"15",-71.4544312935,41.8206208292,11.19,"2023-02-01T15:04:00Z",2023-02-01 15:04:00
"16",-71.4546113368,41.8206046522,11.19,"2023-02-01T15:04:11Z",2023-02-01 15:04:11
"17",-71.4548492152,41.820574142,11.19,"2023-02-01T15:04:26Z",2023-02-01 15:04:26
"18",-71.4550908655,41.8205339089,9.75,"2023-02-01T15:04:42Z",2023-02-01 15:04:42
"19",-71.4552973118,41.8204669375,7.35,"2023-02-01T15:04:56Z",2023-02-01 15:04:56
"20",-71.4554952085,41.8204073422,6.39,"2023-02-01T15:05:09Z",2023-02-01 15:05:09
"21",-71.4556951169,41.8204486649,9.27,"2023-02-01T15:05:23Z",2023-02-01 15:05:23
"22",-71.4559282176,41.8205523491,11.19,"2023-02-01T15:05:40Z",2023-02-01 15:05:40
"23",-71.456204569,41.8206826039,13.12,"2023-02-01T15:06:01Z",2023-02-01 15:06:01
"24",-71.4564410225,41.8207748886,12.15,"2023-02-01T15:06:16Z",2023-02-01 15:06:16
